system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",,,,,,,,,,,,
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.096,0.014,0.009,0.147,0.19,0.176,0.206,0.048,0.048,0.049,0.017,0
"Jan 25, 2018",0.108,0.011,0.008,0.158,0.214,0.19,0.205,0.032,0.035,0.035,0.004,0
"Jan 30, 2018",0.097,0.016,0.011,0.1,0.145,0.149,0.189,0.083,0.084,0.085,0.04,0.007
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",,,,,,,,,,,,
"Feb 24, 2018",,,,,,,,,,,,
"Mar 1, 2018",,,,,,,,,,,,
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.138,0.039,0.018,0.159,0.19,0.145,0.154,0.041,0.052,0.036,0.029,0.006
"Mar 21, 2018",,,,,,,,,,,,
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.097,0.078,0.06,0.1,0.103,0.093,0.101,0.092,0.093,0.094,0.088,0.11
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.109,0.078,0.07,0.107,0.112,0.103,0.105,0.08,0.079,0.082,0.075,0.102
"Apr 25, 2018",0.09,0.085,0.073,0.106,0.109,0.104,0.107,0.082,0.081,0.086,0.077,0.081
"Apr 30, 2018",0.138,0.081,0.068,0.094,0.111,0.1,0.112,0.074,0.077,0.073,0.073,0.112
"May 5, 2018",0.093,0.082,0.069,0.109,0.111,0.1,0.105,0.082,0.085,0.087,0.077,0.083
"May 10, 2018",0.144,0.072,0.065,0.108,0.134,0.107,0.109,0.066,0.065,0.069,0.06,0.088
"May 15, 2018",,,,,,,,,,,,
"May 20, 2018",,,,,,,,,,,,
"May 25, 2018",,,,,,,,,,,,
"May 30, 2018",,,,,,,,,,,,
"Jun 4, 2018",0.08,0.099,0.089,0.082,0.087,0.092,0.101,0.093,0.095,0.087,0.094,0.1
"Jun 9, 2018",,,,,,,,,,,,
"Jun 14, 2018",,,,,,,,,,,,
"Jun 19, 2018",,,,,,,,,,,,
"Jun 24, 2018",0.083,0.091,0.081,0.094,0.097,0.097,0.103,0.09,0.091,0.085,0.088,0.085
