system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",,,,,,,,,,,,
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.101,0.012,0.012,0.153,0.2,0.181,0.206,0.04,0.047,0.041,0.008,0
"Jan 25, 2018",0.105,0.013,0.009,0.162,0.228,0.191,0.197,0.028,0.031,0.028,0.008,0
"Jan 30, 2018",0.094,0.016,0.016,0.107,0.155,0.16,0.188,0.074,0.076,0.076,0.037,0.004
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",,,,,,,,,,,,
"Feb 24, 2018",,,,,,,,,,,,
"Mar 1, 2018",,,,,,,,,,,,
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.135,0.031,0.021,0.162,0.188,0.155,0.153,0.043,0.047,0.037,0.029,0.003
"Mar 21, 2018",,,,,,,,,,,,
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.097,0.076,0.06,0.103,0.109,0.097,0.099,0.089,0.089,0.096,0.086,0.113
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.106,0.077,0.071,0.106,0.113,0.102,0.105,0.081,0.079,0.084,0.076,0.102
"Apr 25, 2018",0.09,0.083,0.076,0.106,0.109,0.105,0.105,0.08,0.08,0.086,0.08,0.08
"Apr 30, 2018",0.083,0.082,0.073,0.099,0.109,0.102,0.11,0.086,0.085,0.086,0.084,0.067
"May 5, 2018",0.083,0.083,0.072,0.108,0.11,0.101,0.104,0.086,0.084,0.089,0.08,0.074
"May 10, 2018",0.102,0.074,0.066,0.108,0.126,0.11,0.108,0.076,0.074,0.085,0.072,0.065
"May 15, 2018",,,,,,,,,,,,
"May 20, 2018",,,,,,,,,,,,
"May 25, 2018",,,,,,,,,,,,
"May 30, 2018",,,,,,,,,,,,
"Jun 4, 2018",0.081,0.097,0.09,0.082,0.087,0.094,0.101,0.093,0.096,0.087,0.094,0.1
"Jun 9, 2018",,,,,,,,,,,,
"Jun 14, 2018",,,,,,,,,,,,
"Jun 19, 2018",,,,,,,,,,,,
"Jun 24, 2018",0.084,0.089,0.083,0.094,0.096,0.096,0.103,0.091,0.09,0.087,0.087,0.085
