system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",0.09,0.051,0.041,0.096,0.109,0.1,0.117,0.096,0.1,0.106,0.094,0.107
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.124,0.015,0.011,0.188,0.266,0.135,0.129,0.034,0.036,0.036,0.025,0.026
"Jan 25, 2018",0.106,0.016,0.014,0.187,0.282,0.144,0.132,0.031,0.033,0.035,0.02,0.021
"Jan 30, 2018",0.12,0.025,0.02,0.147,0.208,0.129,0.13,0.056,0.058,0.06,0.046,0.037
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",0.14,0.038,0.037,0.139,0.207,0.148,0.147,0.038,0.04,0.037,0.03,0.034
"Feb 24, 2018",,,,,,,,,,,,
"Mar 1, 2018",0.134,0.058,0.049,0.119,0.13,0.105,0.124,0.072,0.073,0.07,0.065,0.161
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.126,0.025,0.019,0.173,0.258,0.144,0.127,0.034,0.037,0.031,0.025,0.019
"Mar 21, 2018",0.116,0.044,0.04,0.147,0.206,0.129,0.114,0.052,0.052,0.054,0.045,0.048
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.107,0.057,0.048,0.139,0.173,0.113,0.105,0.063,0.065,0.069,0.061,0.072
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.111,0.054,0.047,0.132,0.177,0.116,0.111,0.063,0.062,0.068,0.058,0.075
"Apr 25, 2018",0.096,0.067,0.059,0.127,0.153,0.113,0.113,0.068,0.069,0.072,0.062,0.074
"Apr 30, 2018",0.087,0.073,0.065,0.106,0.136,0.11,0.113,0.077,0.077,0.082,0.073,0.082
