system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",,,,,,,,,,,,
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.057,0.012,0.006,0.089,0.126,0.137,0.158,0.096,0.099,0.099,0.079,0.042
"Jan 25, 2018",0.064,0.006,0.004,0.103,0.149,0.16,0.176,0.087,0.089,0.088,0.058,0.017
"Jan 30, 2018",0.043,0.019,0.01,0.054,0.08,0.101,0.127,0.114,0.123,0.133,0.121,0.077
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",,,,,,,,,,,,
"Feb 24, 2018",0.081,0.06,0.054,0.081,0.09,0.126,0.153,0.072,0.078,0.067,0.063,0.074
"Mar 1, 2018",,,,,,,,,,,,
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.097,0.019,0.015,0.121,0.175,0.18,0.191,0.052,0.054,0.044,0.031,0.021
"Mar 21, 2018",,,,,,,,,,,,
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.086,0.045,0.04,0.105,0.142,0.142,0.141,0.063,0.066,0.061,0.056,0.054
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.092,0.061,0.057,0.086,0.108,0.117,0.119,0.069,0.069,0.065,0.065,0.091
"Apr 25, 2018",0.073,0.052,0.048,0.091,0.119,0.128,0.142,0.076,0.08,0.071,0.06,0.061
"Apr 30, 2018",0.085,0.06,0.055,0.086,0.112,0.118,0.124,0.074,0.075,0.069,0.068,0.075
"May 5, 2018",0.092,0.052,0.046,0.106,0.137,0.128,0.127,0.058,0.06,0.055,0.054,0.084
"May 10, 2018",0.08,0.07,0.063,0.085,0.106,0.109,0.114,0.079,0.08,0.074,0.075,0.067
"May 15, 2018",,,,,,,,,,,,
"May 20, 2018",,,,,,,,,,,,
"May 25, 2018",,,,,,,,,,,,
"May 30, 2018",,,,,,,,,,,,
"Jun 4, 2018",,,,,,,,,,,,
"Jun 9, 2018",,,,,,,,,,,,
"Jun 14, 2018",,,,,,,,,,,,
"Jun 19, 2018",,,,,,,,,,,,
"Jun 24, 2018",0.08,0.074,0.069,0.086,0.096,0.099,0.107,0.08,0.082,0.072,0.077,0.079
